vlocity_cmt__DestinationFieldName__c,vlocity_cmt__DestinationSObjectType__c,Name,vlocity_cmt__SourceFieldName__c,vlocity_cmt__SourceFieldSObjectType__c,vlocity_cmt__SourceFieldType__c,vlocity_cmt__SourceSObjectType__c
AttributeMetadataChanges__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-42,vlocity_cmt__AttributeMetadataChanges__c,,textarea,OrderItem
vlocity_cmt__AttributeSelectedValues__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-43,vlocity_cmt__AttributeSelectedValues__c,,textarea,OrderItem
CurrencyPaymentMode__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-44,vlocity_cmt__CurrencyPaymentMode__c,,picklist,OrderItem
EffectiveOneTimeCostTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-45,vlocity_cmt__EffectiveOneTimeCostTotal__c,,currency,OrderItem
EffectiveOneTimeLoyaltyTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-46,vlocity_cmt__EffectiveOneTimeLoyaltyTotal__c,,double,OrderItem
EffectiveOneTimeTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-47,vlocity_cmt__EffectiveOneTimeTotal__c,,currency,OrderItem
EffectiveQuantity__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-48,vlocity_cmt__EffectiveQuantity__c,,double,OrderItem
ProductHierarchyGroupKeyPath__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-49,vlocity_cmt__ProductHierarchyGroupKeyPath__c,,textarea,OrderItem
ProductHierarchyPath__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-50,vlocity_cmt__ProductHierarchyPath__c,,string,OrderItem
RecurringCost__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-51,vlocity_cmt__RecurringCost__c,,currency,OrderItem
RecurringCostTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-52,vlocity_cmt__RecurringCostTotal__c,,currency,OrderItem
RecurringMargin__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-53,vlocity_cmt__RecurringMargin__c,,percent,OrderItem
UsageMargin__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-54,vlocity_cmt__UsageMargin__c,,percent,OrderItem
UsageMeasurementId__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-55,vlocity_cmt__UsageMeasurementId__c,vlocity_cmt__ChargeMeasurement__c,reference,OrderItem
UsageUnitPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-56,vlocity_cmt__UsageUnitPrice__c,,currency,OrderItem
UsagePriceTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-57,vlocity_cmt__UsagePriceTotal__c,,currency,OrderItem
UsageQuantity__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-58,vlocity_cmt__UsageQuantity__c,,double,OrderItem
UsageUnitCost__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-59,vlocity_cmt__UsageUnitCost__c,,currency,OrderItem
UsageCostTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-60,vlocity_cmt__UsageCostTotal__c,,currency,OrderItem
vlocity_cmt__PricingLogData__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-61,vlocity_cmt__PricingLogData__c,,textarea,OrderItem
EffectiveUsageQuantity__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-62,vlocity_cmt__EffectiveUsageQuantity__c,,double,OrderItem
PricebookEntryId,OrderItem,ContractLineItem>OrderItem-01,vlocity_cmt__PricebookEntryId__c,PricebookEntry,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__JSONAttribute__c,OrderItem,ContractLineItem>OrderItem-02,vlocity_cmt__AttributesData__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageDiscountPrice__c,OrderItem,ContractLineItem>OrderItem-03,vlocity_cmt__OverageDiscountPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageUOM__c,OrderItem,ContractLineItem>OrderItem-04,vlocity_cmt__OverageUOM__c,,picklist,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageTotal__c,OrderItem,ContractLineItem>OrderItem-05,vlocity_cmt__OverageTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageManualDiscount__c,OrderItem,ContractLineItem>OrderItem-06,vlocity_cmt__OverageManualDiscount__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageCharge__c,OrderItem,ContractLineItem>OrderItem-07,vlocity_cmt__OverageCharge__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringDiscountPrice__c,OrderItem,ContractLineItem>OrderItem-08,vlocity_cmt__RecurringDiscountPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeDiscountPrice__c,OrderItem,ContractLineItem>OrderItem-09,vlocity_cmt__OneTimeDiscountPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeCharge__c,OrderItem,ContractLineItem>OrderItem-10,vlocity_cmt__OneTimeCharge__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__ServiceAccountId__c,OrderItem,ContractLineItem>OrderItem-11,vlocity_cmt__ServiceAccountId__c,Account,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__SerialNumber__c,OrderItem,ContractLineItem>OrderItem-12,vlocity_cmt__SerialNumber__c,,string,vlocity_cmt__ContractLineItem__c
vlocity_cmt__BillingAccountId__c,OrderItem,ContractLineItem>OrderItem-13,vlocity_cmt__BillingAccountId__c,Account,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__ConnectDate__c,OrderItem,ContractLineItem>OrderItem-14,vlocity_cmt__EffectiveStartDate__c,,datetime,vlocity_cmt__ContractLineItem__c
vlocity_cmt__DisconnectDate__c,OrderItem,ContractLineItem>OrderItem-15,vlocity_cmt__EffectiveEndDate__c,,datetime,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeManualDiscount__c,OrderItem,ContractLineItem>OrderItem-16,vlocity_cmt__OneTimeManualDiscount__c,,percent,vlocity_cmt__ContractLineItem__c
UnitPrice,OrderItem,ContractLineItem>OrderItem-17,vlocity_cmt__UnitPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeTotal__c,OrderItem,ContractLineItem>OrderItem-18,vlocity_cmt__OneTimeTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageCalculatedPrice__c,OrderItem,ContractLineItem>OrderItem-19,vlocity_cmt__OverageCalculatedPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringUOM__c,OrderItem,ContractLineItem>OrderItem-20,vlocity_cmt__RecurringUOM__c,,picklist,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringTotal__c,OrderItem,ContractLineItem>OrderItem-21,vlocity_cmt__RecurringTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringManualDiscount__c,OrderItem,ContractLineItem>OrderItem-22,vlocity_cmt__RecurringManualDiscount__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringCharge__c,OrderItem,ContractLineItem>OrderItem-23,vlocity_cmt__RecurringCharge__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringCalculatedPrice__c,OrderItem,ContractLineItem>OrderItem-24,vlocity_cmt__RecurringCalculatedPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__LineNumber__c,OrderItem,ContractLineItem>OrderItem-25,vlocity_cmt__LineNumber__c,,string,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeCalculatedPrice__c,OrderItem,ContractLineItem>OrderItem-26,vlocity_cmt__OneTimeCalculatedPrice__c,,currency,vlocity_cmt__ContractLineItem__c
Quantity,OrderItem,ContractLineItem>OrderItem-27,vlocity_cmt__Quantity__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__AssetReferenceId__c,OrderItem,ContractLineItem>OrderItem-28,vlocity_cmt__AssetReferenceId__c,,string,vlocity_cmt__ContractLineItem__c
vlocity_cmt__InCartQuantityMap__c,OrderItem,ContractLineItem>OrderItem-29,InCartQuantityMap__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeCost__c,OrderItem,ContractLineItem>OrderItem-30,OneTimeCost__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeCostTotal__c,OrderItem,ContractLineItem>OrderItem-31,OneTimeCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeLoyaltyPrice__c,OrderItem,ContractLineItem>OrderItem-32,OneTimeLoyaltyPrice__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeLoyaltyTotal__c,OrderItem,ContractLineItem>OrderItem-33,OneTimeLoyaltyTotal__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeMargin__c,OrderItem,ContractLineItem>OrderItem-34,OneTimeMargin__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveRecurringCostTotal__c,OrderItem,ContractLineItem>OrderItem-35,EffectiveRecurringCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveRecurringTotal__c,OrderItem,ContractLineItem>OrderItem-36,EffectiveRecurringTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveUsageCostTotal__c,OrderItem,ContractLineItem>OrderItem-37,EffectiveUsageCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveUsagePriceTotal__c,OrderItem,ContractLineItem>OrderItem-38,EffectiveUsagePriceTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__Action__c,OrderItem,ContractLineItem>OrderItem-39,Action__c,,picklist,vlocity_cmt__ContractLineItem__c
vlocity_cmt__AttributeMetadataChanges__c,OrderItem,ContractLineItem>OrderItem-40,AttributeMetadataChanges__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__AttributeSelectedValues__c,OrderItem,ContractLineItem>OrderItem-41,vlocity_cmt__AttributeSelectedValues__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__CurrencyPaymentMode__c,OrderItem,ContractLineItem>OrderItem-42,CurrencyPaymentMode__c,,picklist,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveOneTimeCostTotal__c,OrderItem,ContractLineItem>OrderItem-43,EffectiveOneTimeCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveOneTimeLoyaltyTotal__c,OrderItem,ContractLineItem>OrderItem-44,EffectiveOneTimeLoyaltyTotal__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveOneTimeTotal__c,OrderItem,ContractLineItem>OrderItem-45,EffectiveOneTimeTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveQuantity__c,OrderItem,ContractLineItem>OrderItem-46,EffectiveQuantity__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__ProductHierarchyGroupKeyPath__c,OrderItem,ContractLineItem>OrderItem-47,ProductHierarchyGroupKeyPath__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__ProductHierarchyPath__c,OrderItem,ContractLineItem>OrderItem-48,ProductHierarchyPath__c,,string,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringCost__c,OrderItem,ContractLineItem>OrderItem-49,RecurringCost__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringCostTotal__c,OrderItem,ContractLineItem>OrderItem-50,RecurringCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringMargin__c,OrderItem,ContractLineItem>OrderItem-51,RecurringMargin__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageMargin__c,OrderItem,ContractLineItem>OrderItem-52,UsageMargin__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageMeasurementId__c,OrderItem,ContractLineItem>OrderItem-53,UsageMeasurementId__c,vlocity_cmt__ChargeMeasurement__c,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageUnitPrice__c,OrderItem,ContractLineItem>OrderItem-54,UsageUnitPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsagePriceTotal__c,OrderItem,ContractLineItem>OrderItem-55,UsagePriceTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageQuantity__c,OrderItem,ContractLineItem>OrderItem-56,UsageQuantity__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageUnitCost__c,OrderItem,ContractLineItem>OrderItem-57,UsageUnitCost__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageCostTotal__c,OrderItem,ContractLineItem>OrderItem-58,UsageCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__PricingLogData__c,OrderItem,ContractLineItem>OrderItem-59,vlocity_cmt__PricingLogData__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveUsageQuantity__c,OrderItem,ContractLineItem>OrderItem-60,EffectiveUsageQuantity__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__Product2Id__c,OrderItem,ContractLineItem>OrderItem-61,vlocity_cmt__Product2Id__c,Product2,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__PricebookEntryId__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-01,PricebookEntryId,PricebookEntry,reference,QuoteLineItem
vlocity_cmt__AttributesData__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-02,vlocity_cmt__JSONAttribute__c,,textarea,QuoteLineItem
vlocity_cmt__OverageDiscountPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-03,vlocity_cmt__OverageDiscountPrice__c,,currency,QuoteLineItem
vlocity_cmt__OverageUOM__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-04,vlocity_cmt__OverageUOM__c,,picklist,QuoteLineItem
vlocity_cmt__OverageTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-05,vlocity_cmt__OverageTotal__c,,currency,QuoteLineItem
vlocity_cmt__OverageManualDiscount__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-06,vlocity_cmt__OverageManualDiscount__c,,percent,QuoteLineItem
vlocity_cmt__OverageCharge__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-07,vlocity_cmt__OverageCharge__c,,currency,QuoteLineItem
vlocity_cmt__RecurringDiscountPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-08,vlocity_cmt__RecurringDiscountPrice__c,,currency,QuoteLineItem
vlocity_cmt__OneTimeDiscountPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-09,vlocity_cmt__OneTimeDiscountPrice__c,,currency,QuoteLineItem
vlocity_cmt__OneTimeCharge__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-10,vlocity_cmt__OneTimeCharge__c,,currency,QuoteLineItem
vlocity_cmt__ServiceAccountId__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-11,vlocity_cmt__ServiceAccountId__c,Account,reference,QuoteLineItem
vlocity_cmt__SerialNumber__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-12,vlocity_cmt__SerialNumber__c,,string,QuoteLineItem
vlocity_cmt__BillingAccountId__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-13,vlocity_cmt__BillingAccountId__c,Account,reference,QuoteLineItem
vlocity_cmt__EffectiveStartDate__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-14,vlocity_cmt__ConnectDate__c,,datetime,QuoteLineItem
vlocity_cmt__EffectiveEndDate__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-15,vlocity_cmt__DisconnectDate__c,,datetime,QuoteLineItem
vlocity_cmt__OneTimeManualDiscount__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-16,vlocity_cmt__OneTimeManualDiscount__c,,percent,QuoteLineItem
vlocity_cmt__UnitPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-17,UnitPrice,,currency,QuoteLineItem
vlocity_cmt__OneTimeTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-18,vlocity_cmt__OneTimeTotal__c,,currency,QuoteLineItem
vlocity_cmt__OverageCalculatedPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-19,vlocity_cmt__OverageCalculatedPrice__c,,currency,QuoteLineItem
vlocity_cmt__RecurringUOM__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-20,vlocity_cmt__RecurringUOM__c,,picklist,QuoteLineItem
vlocity_cmt__RecurringTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-21,vlocity_cmt__RecurringTotal__c,,currency,QuoteLineItem
vlocity_cmt__RecurringManualDiscount__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-22,vlocity_cmt__RecurringManualDiscount__c,,percent,QuoteLineItem
vlocity_cmt__RecurringCharge__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-23,vlocity_cmt__RecurringCharge__c,,currency,QuoteLineItem
vlocity_cmt__RecurringCalculatedPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-24,vlocity_cmt__RecurringCalculatedPrice__c,,currency,QuoteLineItem
vlocity_cmt__LineNumber__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-25,vlocity_cmt__LineNumber__c,,string,QuoteLineItem
vlocity_cmt__OneTimeCalculatedPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-26,vlocity_cmt__OneTimeCalculatedPrice__c,,currency,QuoteLineItem
vlocity_cmt__Product2Id__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-27,PricebookEntry.Product2Id,Product2,reference,QuoteLineItem
Name,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-28,PricebookEntry.Name,PricebookEntry,string,QuoteLineItem
vlocity_cmt__Quantity__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-29,Quantity,,double,QuoteLineItem
vlocity_cmt__AssetReferenceId__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-30,vlocity_cmt__AssetReferenceId__c,,string,QuoteLineItem
InCartQuantityMap__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-31,vlocity_cmt__InCartQuantityMap__c,,textarea,QuoteLineItem
OneTimeCost__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-32,vlocity_cmt__OneTimeCost__c,,currency,QuoteLineItem
OneTimeCostTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-33,vlocity_cmt__OneTimeCostTotal__c,,currency,QuoteLineItem
OneTimeLoyaltyPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-34,vlocity_cmt__OneTimeLoyaltyPrice__c,,double,QuoteLineItem
OneTimeLoyaltyTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-35,vlocity_cmt__OneTimeLoyaltyTotal__c,,double,QuoteLineItem
OneTimeMargin__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-36,vlocity_cmt__OneTimeMargin__c,,percent,QuoteLineItem
EffectiveRecurringCostTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-37,vlocity_cmt__EffectiveRecurringCostTotal__c,,currency,QuoteLineItem
EffectiveRecurringTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-38,vlocity_cmt__EffectiveRecurringTotal__c,,currency,QuoteLineItem
